mode,cycle,if_valid,if_pc,if_instr,id_valid,id_pc,id_instr,ex_valid,ex_pc,ex_instr,mem_valid,mem_pc,mem_instr,wb_valid,wb_pc,wb_instr,dmem_valid,dmem_ready
0,3,1,00000000,24010007,0,00000000,00000000,0,00000000,00000000,0,00000000,00000000,0,00000000,00000000,0,1
0,4,1,00000004,2422fffd,1,00000000,24010007,0,00000000,00000000,0,00000000,00000000,0,00000000,00000000,0,1
0,5,1,00000008,00421821,1,00000004,2422fffd,1,00000000,24010007,0,00000000,00000000,0,00000000,00000000,0,1
0,6,1,0000000c,ac030000,1,00000008,00421821,1,00000004,2422fffd,1,00000000,24010007,0,00000000,00000000,0,1
0,7,1,00000010,8c040000,1,0000000c,ac030000,1,00000008,00421821,1,00000004,2422fffd,1,00000000,24010007,0,1
0,8,1,00000014,00842821,1,00000010,8c040000,1,0000000c,ac030000,1,00000008,00421821,1,00000004,2422fffd,0,1
0,9,1,00000018,ac050004,1,00000014,00842821,1,00000010,8c040000,1,0000000c,ac030000,1,00000008,00421821,1,1
0,10,1,00000018,ac050004,1,00000014,00842821,0,00000010,8c040000,1,00000010,8c040000,1,0000000c,ac030000,1,1
0,11,1,0000001c,10a50002,1,00000018,ac050004,1,00000014,00842821,0,00000010,8c040000,1,00000010,8c040000,0,1
0,12,1,00000020,24a60001,1,0000001c,10a50002,1,00000018,ac050004,1,00000014,00842821,0,00000010,8c040000,0,1
0,13,1,00000024,ac010064,1,00000020,24a60001,1,0000001c,10a50002,1,00000018,ac050004,1,00000014,00842821,1,1
0,14,1,00000028,14a60002,0,00000020,24a60001,1,00000020,24a60001,1,0000001c,10a50002,1,00000018,ac050004,0,1
0,15,1,0000002c,24c70001,1,00000028,14a60002,0,00000020,24a60001,1,00000020,24a60001,1,0000001c,10a50002,0,1
0,16,1,00000030,ac010064,1,0000002c,24c70001,1,00000028,14a60002,0,00000020,24a60001,1,00000020,24a60001,0,1
0,17,1,00000034,ac0c0000,0,0000002c,24c70001,1,0000002c,24c70001,1,00000028,14a60002,0,00000020,24a60001,0,1
0,18,1,00000038,8c040000,1,00000034,ac0c0000,0,0000002c,24c70001,1,0000002c,24c70001,1,00000028,14a60002,0,1
0,19,1,0000003c,00843021,1,00000038,8c040000,1,00000034,ac0c0000,0,0000002c,24c70001,1,0000002c,24c70001,0,1
0,20,1,00000040,35833e56,1,0000003c,00843021,1,00000038,8c040000,1,00000034,ac0c0000,0,0000002c,24c70001,1,1
0,21,1,00000040,35833e56,1,0000003c,00843021,0,00000038,8c040000,1,00000038,8c040000,1,00000034,ac0c0000,1,1
0,22,1,00000044,000d6e80,1,00000040,35833e56,1,0000003c,00843021,0,00000038,8c040000,1,00000038,8c040000,0,1
0,23,1,00000048,01cb2023,1,00000044,000d6e80,1,00000040,35833e56,1,0000003c,00843021,0,00000038,8c040000,0,1
0,24,1,0000004c,2dcbe87c,1,00000048,01cb2023,1,00000044,000d6e80,1,00000040,35833e56,1,0000003c,00843021,0,1
0,25,1,00000050,00072383,1,0000004c,2dcbe87c,1,00000048,01cb2023,1,00000044,000d6e80,1,00000040,35833e56,0,1
0,26,1,00000054,00ef3824,1,00000050,00072383,1,0000004c,2dcbe87c,1,00000048,01cb2023,1,00000044,000d6e80,0,1
0,27,1,00000058,35cd31be,1,00000054,00ef3824,1,00000050,00072383,1,0000004c,2dcbe87c,1,00000048,01cb2023,0,1
0,28,1,0000005c,00025d83,1,00000058,35cd31be,1,00000054,00ef3824,1,00000050,00072383,1,0000004c,2dcbe87c,0,1
0,29,1,00000060,01c54821,1,0000005c,00025d83,1,00000058,35cd31be,1,00000054,00ef3824,1,00000050,00072383,0,1
0,30,1,00000064,346e1b44,1,00000060,01c54821,1,0000005c,00025d83,1,00000058,35cd31be,1,00000054,00ef3824,0,1
0,31,1,00000068,ac02002c,1,00000064,346e1b44,1,00000060,01c54821,1,0000005c,00025d83,1,00000058,35cd31be,0,1
0,32,1,0000006c,8c03002c,1,00000068,ac02002c,1,00000064,346e1b44,1,00000060,01c54821,1,0000005c,00025d83,0,1
0,33,1,00000070,00636021,1,0000006c,8c03002c,1,00000068,ac02002c,1,00000064,346e1b44,1,00000060,01c54821,0,1
0,34,1,00000074,0104302a,1,00000070,00636021,1,0000006c,8c03002c,1,00000068,ac02002c,1,00000064,346e1b44,1,1
0,35,1,00000074,0104302a,1,00000070,00636021,0,0000006c,8c03002c,1,0000006c,8c03002c,1,00000068,ac02002c,1,1
0,36,1,00000078,29ce50eb,1,00000074,0104302a,1,00000070,00636021,0,0000006c,8c03002c,1,0000006c,8c03002c,0,1
0,37,1,0000007c,00025383,1,00000078,29ce50eb,1,00000074,0104302a,1,00000070,00636021,0,0000006c,8c03002c,0,1
0,38,1,00000080,01cf302a,1,0000007c,00025383,1,00000078,29ce50eb,1,00000074,0104302a,1,00000070,00636021,0,1
0,39,1,00000084,38ee38ea,1,00000080,01cf302a,1,0000007c,00025383,1,00000078,29ce50eb,1,00000074,0104302a,0,1
0,40,1,00000088,000f1303,1,00000084,38ee38ea,1,00000080,01cf302a,1,0000007c,00025383,1,00000078,29ce50eb,0,1
0,41,1,0000008c,01057821,1,00000088,000f1303,1,00000084,38ee38ea,1,00000080,01cf302a,1,0000007c,00025383,0,1
0,42,1,00000090,296ed6ff,1,0000008c,01057821,1,00000088,000f1303,1,00000084,38ee38ea,1,00000080,01cf302a,0,1
0,43,1,00000094,000e7c02,1,00000090,296ed6ff,1,0000008c,01057821,1,00000088,000f1303,1,00000084,38ee38ea,0,1
0,44,1,00000098,01e86826,1,00000094,000e7c02,1,00000090,296ed6ff,1,0000008c,01057821,1,00000088,000f1303,0,1
0,45,1,0000009c,ac040058,1,00000098,01e86826,1,00000094,000e7c02,1,00000090,296ed6ff,1,0000008c,01057821,0,1
0,46,1,000000a0,8c0f0058,1,0000009c,ac040058,1,00000098,01e86826,1,00000094,000e7c02,1,00000090,296ed6ff,0,1
0,47,1,000000a4,01ef7021,1,000000a0,8c0f0058,1,0000009c,ac040058,1,00000098,01e86826,1,00000094,000e7c02,0,1
0,48,1,000000a8,000c3843,1,000000a4,01ef7021,1,000000a0,8c0f0058,1,0000009c,ac040058,1,00000098,01e86826,1,1
0,49,1,000000a8,000c3843,1,000000a4,01ef7021,0,000000a0,8c0f0058,1,000000a0,8c0f0058,1,0000009c,ac040058,1,1
0,50,1,000000ac,00c55825,1,000000a8,000c3843,1,000000a4,01ef7021,0,000000a0,8c0f0058,1,000000a0,8c0f0058,0,1
0,51,1,000000b0,390282d1,1,000000ac,00c55825,1,000000a8,000c3843,1,000000a4,01ef7021,0,000000a0,8c0f0058,0,1
0,52,1,000000b4,00032642,1,000000b0,390282d1,1,000000ac,00c55825,1,000000a8,000c3843,1,000000a4,01ef7021,0,1
0,53,1,000000b8,00c61824,1,000000b4,00032642,1,000000b0,390282d1,1,000000ac,00c55825,1,000000a8,000c3843,0,1
0,54,1,000000bc,29c52b84,1,000000b8,00c61824,1,000000b4,00032642,1,000000b0,390282d1,1,000000ac,00c55825,0,1
0,55,1,000000c0,000c0a40,1,000000bc,29c52b84,1,000000b8,00c61824,1,000000b4,00032642,1,000000b0,390282d1,0,1
0,56,1,000000c4,006a102a,1,000000c0,000c0a40,1,000000bc,29c52b84,1,000000b8,00c61824,1,000000b4,00032642,0,1
0,57,1,000000c8,2c6a0e0d,1,000000c4,006a102a,1,000000c0,000c0a40,1,000000bc,29c52b84,1,000000b8,00c61824,0,1
0,58,1,000000cc,00086f42,1,000000c8,2c6a0e0d,1,000000c4,006a102a,1,000000c0,000c0a40,1,000000bc,29c52b84,0,1
0,59,1,000000d0,ac080004,1,000000cc,00086f42,1,000000c8,2c6a0e0d,1,000000c4,006a102a,1,000000c0,000c0a40,0,1
0,60,1,000000d4,8c050004,1,000000d0,ac080004,1,000000cc,00086f42,1,000000c8,2c6a0e0d,1,000000c4,006a102a,0,1
0,61,1,000000d8,00a50821,1,000000d4,8c050004,1,000000d0,ac080004,1,000000cc,00086f42,1,000000c8,2c6a0e0d,0,1
0,62,1,000000dc,244fabde,1,000000d8,00a50821,1,000000d4,8c050004,1,000000d0,ac080004,1,000000cc,00086f42,1,1
0,63,1,000000dc,244fabde,1,000000d8,00a50821,0,000000d4,8c050004,1,000000d4,8c050004,1,000000d0,ac080004,1,1
0,64,1,000000e0,000a1282,1,000000dc,244fabde,1,000000d8,00a50821,0,000000d4,8c050004,1,000000d4,8c050004,0,1
0,65,1,000000e4,00445825,1,000000e0,000a1282,1,000000dc,244fabde,1,000000d8,00a50821,0,000000d4,8c050004,0,1
0,66,1,000000e8,28e7f06b,1,000000e4,00445825,1,000000e0,000a1282,1,000000dc,244fabde,1,000000d8,00a50821,0,1
0,67,1,000000ec,000908c3,1,000000e8,28e7f06b,1,000000e4,00445825,1,000000e0,000a1282,1,000000dc,244fabde,0,1
0,68,1,000000f0,018c5826,1,000000ec,000908c3,1,000000e8,28e7f06b,1,000000e4,00445825,1,000000e0,000a1282,0,1
0,69,1,000000f4,29654b31,1,000000f0,018c5826,1,000000ec,000908c3,1,000000e8,28e7f06b,1,000000e4,00445825,0,1
0,70,1,000000f8,00087b02,1,000000f4,29654b31,1,000000f0,018c5826,1,000000ec,000908c3,1,000000e8,28e7f06b,0,1
0,71,1,000000fc,00ee102b,1,000000f8,00087b02,1,000000f4,29654b31,1,000000f0,018c5826,1,000000ec,000908c3,0,1
0,72,1,00000100,25c62e8b,1,000000fc,00ee102b,1,000000f8,00087b02,1,000000f4,29654b31,1,000000f0,018c5826,0,1
0,73,1,00000104,ac0e0030,1,00000100,25c62e8b,1,000000fc,00ee102b,1,000000f8,00087b02,1,000000f4,29654b31,0,1
0,74,1,00000108,8c0a0030,1,00000104,ac0e0030,1,00000100,25c62e8b,1,000000fc,00ee102b,1,000000f8,00087b02,0,1
0,75,1,0000010c,014a6021,1,00000108,8c0a0030,1,00000104,ac0e0030,1,00000100,25c62e8b,1,000000fc,00ee102b,0,1
0,76,1,00000110,01ed2826,1,0000010c,014a6021,1,00000108,8c0a0030,1,00000104,ac0e0030,1,00000100,25c62e8b,1,1
0,77,1,00000110,01ed2826,1,0000010c,014a6021,0,00000108,8c0a0030,1,00000108,8c0a0030,1,00000104,ac0e0030,1,1
0,78,1,00000114,382509a7,1,00000110,01ed2826,1,0000010c,014a6021,0,00000108,8c0a0030,1,00000108,8c0a0030,0,1
0,79,1,00000118,000216c3,1,00000114,382509a7,1,00000110,01ed2826,1,0000010c,014a6021,0,00000108,8c0a0030,0,1
0,80,1,0000011c,01296026,1,00000118,000216c3,1,00000114,382509a7,1,00000110,01ed2826,1,0000010c,014a6021,0,1
0,81,1,00000120,28e2f773,1,0000011c,01296026,1,00000118,000216c3,1,00000114,382509a7,1,00000110,01ed2826,0,1
0,82,1,00000124,000f5040,1,00000120,28e2f773,1,0000011c,01296026,1,00000118,000216c3,1,00000114,382509a7,0,1
0,83,1,00000128,00eb0824,1,00000124,000f5040,1,00000120,28e2f773,1,0000011c,01296026,1,00000118,000216c3,0,1
0,84,1,0000012c,25234438,1,00000128,00eb0824,1,00000124,000f5040,1,00000120,28e2f773,1,0000011c,01296026,0,1
0,85,1,00000130,000749c3,1,0000012c,25234438,1,00000128,00eb0824,1,00000124,000f5040,1,00000120,28e2f773,0,1
0,86,1,00000134,01e91024,1,00000130,000749c3,1,0000012c,25234438,1,00000128,00eb0824,1,00000124,000f5040,0,1
0,87,1,00000138,ac0f005c,1,00000134,01e91024,1,00000130,000749c3,1,0000012c,25234438,1,00000128,00eb0824,0,1
0,88,1,0000013c,8c05005c,1,00000138,ac0f005c,1,00000134,01e91024,1,00000130,000749c3,1,0000012c,25234438,0,1
0,89,1,00000140,00a51021,1,0000013c,8c05005c,1,00000138,ac0f005c,1,00000134,01e91024,1,00000130,000749c3,0,1
0,90,1,00000144,000c2d42,1,00000140,00a51021,1,0000013c,8c05005c,1,00000138,ac0f005c,1,00000134,01e91024,1,1
0,91,1,00000144,000c2d42,1,00000140,00a51021,0,0000013c,8c05005c,1,0000013c,8c05005c,1,00000138,ac0f005c,1,1
0,92,1,00000148,01671821,1,00000144,000c2d42,1,00000140,00a51021,0,0000013c,8c05005c,1,0000013c,8c05005c,0,1
0,93,1,0000014c,25a16b68,1,00000148,01671821,1,00000144,000c2d42,1,00000140,00a51021,0,0000013c,8c05005c,0,1
0,94,1,00000150,00080e80,1,0000014c,25a16b68,1,00000148,01671821,1,00000144,000c2d42,1,00000140,00a51021,0,1
0,95,1,00000154,00af3825,1,00000150,00080e80,1,0000014c,25a16b68,1,00000148,01671821,1,00000144,000c2d42,0,1
0,96,1,00000158,2c65d6a1,1,00000154,00af3825,1,00000150,00080e80,1,0000014c,25a16b68,1,00000148,01671821,0,1
0,97,1,0000015c,00055200,1,00000158,2c65d6a1,1,00000154,00af3825,1,00000150,00080e80,1,0000014c,25a16b68,0,1
0,98,1,00000160,00c34826,1,0000015c,00055200,1,00000158,2c65d6a1,1,00000154,00af3825,1,00000150,00080e80,0,1
0,99,1,00000164,2966b113,1,00000160,00c34826,1,0000015c,00055200,1,00000158,2c65d6a1,1,00000154,00af3825,0,1
0,100,1,00000168,00047800,1,00000164,2966b113,1,00000160,00c34826,1,0000015c,00055200,1,00000158,2c65d6a1,0,1
0,101,1,0000016c,ac050008,1,00000168,00047800,1,00000164,2966b113,1,00000160,00c34826,1,0000015c,00055200,0,1
0,102,1,00000170,8c0e0008,1,0000016c,ac050008,1,00000168,00047800,1,00000164,2966b113,1,00000160,00c34826,0,1
0,103,1,00000174,01ce5021,1,00000170,8c0e0008,1,0000016c,ac050008,1,00000168,00047800,1,00000164,2966b113,0,1
0,104,1,00000178,2863043e,1,00000174,01ce5021,1,00000170,8c0e0008,1,0000016c,ac050008,1,00000168,00047800,1,1
0,105,1,00000178,2863043e,1,00000174,01ce5021,0,00000170,8c0e0008,1,00000170,8c0e0008,1,0000016c,ac050008,1,1
0,106,1,0000017c,00086140,1,00000178,2863043e,1,00000174,01ce5021,0,00000170,8c0e0008,1,00000170,8c0e0008,0,1
0,107,1,00000180,01e94021,1,0000017c,00086140,1,00000178,2863043e,1,00000174,01ce5021,0,00000170,8c0e0008,0,1
0,108,1,00000184,2d059841,1,00000180,01e94021,1,0000017c,00086140,1,00000178,2863043e,1,00000174,01ce5021,0,1
0,109,1,00000188,00021a00,1,00000184,2d059841,1,00000180,01e94021,1,0000017c,00086140,1,00000178,2863043e,0,1
0,110,1,0000018c,00246823,1,00000188,00021a00,1,00000184,2d059841,1,00000180,01e94021,1,0000017c,00086140,0,1
0,111,1,00000190,3083d98a,1,0000018c,00246823,1,00000188,00021a00,1,00000184,2d059841,1,00000180,01e94021,0,1
0,112,1,00000194,00032602,1,00000190,3083d98a,1,0000018c,00246823,1,00000188,00021a00,1,00000184,2d059841,0,1
0,113,1,00000198,010b2023,1,00000194,00032602,1,00000190,3083d98a,1,0000018c,00246823,1,00000188,00021a00,0,1
0,114,1,0000019c,35860a19,1,00000198,010b2023,1,00000194,00032602,1,00000190,3083d98a,1,0000018c,00246823,0,1
0,115,1,000001a0,ac040034,1,0000019c,35860a19,1,00000198,010b2023,1,00000194,00032602,1,00000190,3083d98a,0,1
0,116,1,000001a4,8c0e0034,1,000001a0,ac040034,1,0000019c,35860a19,1,00000198,010b2023,1,00000194,00032602,0,1
0,117,1,000001a8,01ce2821,1,000001a4,8c0e0034,1,000001a0,ac040034,1,0000019c,35860a19,1,00000198,010b2023,0,1
0,118,1,000001ac,010b702a,1,000001a8,01ce2821,1,000001a4,8c0e0034,1,000001a0,ac040034,1,0000019c,35860a19,1,1
0,119,1,000001ac,010b702a,1,000001a8,01ce2821,0,000001a4,8c0e0034,1,000001a4,8c0e0034,1,000001a0,ac040034,1,1
0,120,1,000001b0,2c4a662f,1,000001ac,010b702a,1,000001a8,01ce2821,0,000001a4,8c0e0034,1,000001a4,8c0e0034,0,1
0,121,1,000001b4,000536c0,1,000001b0,2c4a662f,1,000001ac,010b702a,1,000001a8,01ce2821,0,000001a4,8c0e0034,0,1
0,122,1,000001b8,01ab682a,1,000001b4,000536c0,1,000001b0,2c4a662f,1,000001ac,010b702a,1,000001a8,01ce2821,0,1
0,123,1,000001bc,308d1e92,1,000001b8,01ab682a,1,000001b4,000536c0,1,000001b0,2c4a662f,1,000001ac,010b702a,0,1
0,124,1,000001c0,00093c03,1,000001bc,308d1e92,1,000001b8,01ab682a,1,000001b4,000536c0,1,000001b0,2c4a662f,0,1
0,125,1,000001c4,00e7202b,1,000001c0,00093c03,1,000001bc,308d1e92,1,000001b8,01ab682a,1,000001b4,000536c0,0,1
0,126,1,000001c8,3583c9f6,1,000001c4,00e7202b,1,000001c0,00093c03,1,000001bc,308d1e92,1,000001b8,01ab682a,0,1
0,127,1,000001cc,000a2943,1,000001c8,3583c9f6,1,000001c4,00e7202b,1,000001c0,00093c03,1,000001bc,308d1e92,0,1
0,128,1,000001d0,01e76825,1,000001cc,000a2943,1,000001c8,3583c9f6,1,000001c4,00e7202b,1,000001c0,00093c03,0,1
0,129,1,000001d4,ac010060,1,000001d0,01e76825,1,000001cc,000a2943,1,000001c8,3583c9f6,1,000001c4,00e7202b,0,1
0,130,1,000001d8,8c050060,1,000001d4,ac010060,1,000001d0,01e76825,1,000001cc,000a2943,1,000001c8,3583c9f6,0,1
0,131,1,000001dc,00a51021,1,000001d8,8c050060,1,000001d4,ac010060,1,000001d0,01e76825,1,000001cc,000a2943,0,1
0,132,1,000001e0,00086e43,1,000001dc,00a51021,1,000001d8,8c050060,1,000001d4,ac010060,1,000001d0,01e76825,1,1
0,133,1,000001e0,00086e43,1,000001dc,00a51021,0,000001d8,8c050060,1,000001d8,8c050060,1,000001d4,ac010060,1,1
0,134,1,000001e4,00ea5827,1,000001e0,00086e43,1,000001dc,00a51021,0,000001d8,8c050060,1,000001d8,8c050060,0,1
0,135,1,000001e8,2824f332,1,000001e4,00ea5827,1,000001e0,00086e43,1,000001dc,00a51021,0,000001d8,8c050060,0,1
0,136,1,000001ec,00025f42,1,000001e8,2824f332,1,000001e4,00ea5827,1,000001e0,00086e43,1,000001dc,00a51021,0,1
0,137,1,000001f0,01866827,1,000001ec,00025f42,1,000001e8,2824f332,1,000001e4,00ea5827,1,000001e0,00086e43,0,1
0,138,1,000001f4,2da1b4a6,1,000001f0,01866827,1,000001ec,00025f42,1,000001e8,2824f332,1,000001e4,00ea5827,0,1
0,139,1,000001f8,000f29c3,1,000001f4,2da1b4a6,1,000001f0,01866827,1,000001ec,00025f42,1,000001e8,2824f332,0,1
0,140,1,000001fc,00462026,1,000001f8,000f29c3,1,000001f4,2da1b4a6,1,000001f0,01866827,1,000001ec,00025f42,0,1
0,141,1,00000200,256634a6,1,000001fc,00462026,1,000001f8,000f29c3,1,000001f4,2da1b4a6,1,000001f0,01866827,0,1
0,142,1,00000204,000b6d03,1,00000200,256634a6,1,000001fc,00462026,1,000001f8,000f29c3,1,000001f4,2da1b4a6,0,1
0,143,1,00000208,ac0c000c,1,00000204,000b6d03,1,00000200,256634a6,1,000001fc,00462026,1,000001f8,000f29c3,0,1
0,144,1,0000020c,8c02000c,1,00000208,ac0c000c,1,00000204,000b6d03,1,00000200,256634a6,1,000001fc,00462026,0,1
0,145,1,00000210,00423821,1,0000020c,8c02000c,1,00000208,ac0c000c,1,00000204,000b6d03,1,00000200,256634a6,0,1
0,146,1,00000214,39aaa23d,1,00000210,00423821,1,0000020c,8c02000c,1,00000208,ac0c000c,1,00000204,000b6d03,1,1
0,147,1,00000214,39aaa23d,1,00000210,00423821,0,0000020c,8c02000c,1,0000020c,8c02000c,1,00000208,ac0c000c,1,1
0,148,1,00000218,00076a83,1,00000214,39aaa23d,1,00000210,00423821,0,0000020c,8c02000c,1,0000020c,8c02000c,0,1
0,149,1,0000021c,014d6024,1,00000218,00076a83,1,00000214,39aaa23d,1,00000210,00423821,0,0000020c,8c02000c,0,1
0,150,1,00000220,34a42706,1,0000021c,014d6024,1,00000218,00076a83,1,00000214,39aaa23d,1,00000210,00423821,0,1
0,151,1,00000224,000d7543,1,00000220,34a42706,1,0000021c,014d6024,1,00000218,00076a83,1,00000214,39aaa23d,0,1
0,152,1,00000228,00286025,1,00000224,000d7543,1,00000220,34a42706,1,0000021c,014d6024,1,00000218,00076a83,0,1
0,153,1,0000022c,38c6bea0,1,00000228,00286025,1,00000224,000d7543,1,00000220,34a42706,1,0000021c,014d6024,0,1
0,154,1,00000230,000a1182,1,0000022c,38c6bea0,1,00000228,00286025,1,00000224,000d7543,1,00000220,34a42706,0,1
0,155,1,00000234,006d6825,1,00000230,000a1182,1,0000022c,38c6bea0,1,00000228,00286025,1,00000224,000d7543,0,1
0,156,1,00000238,2d0abbf2,1,00000234,006d6825,1,00000230,000a1182,1,0000022c,38c6bea0,1,00000228,00286025,0,1
0,157,1,0000023c,ac060038,1,00000238,2d0abbf2,1,00000234,006d6825,1,00000230,000a1182,1,0000022c,38c6bea0,0,1
0,158,1,00000240,8c090038,1,0000023c,ac060038,1,00000238,2d0abbf2,1,00000234,006d6825,1,00000230,000a1182,0,1
0,159,1,00000244,01296821,1,00000240,8c090038,1,0000023c,ac060038,1,00000238,2d0abbf2,1,00000234,006d6825,0,1
0,160,1,00000248,0182782a,1,00000244,01296821,1,00000240,8c090038,1,0000023c,ac060038,1,00000238,2d0abbf2,1,1
0,161,1,00000248,0182782a,1,00000244,01296821,0,00000240,8c090038,1,00000240,8c090038,1,0000023c,ac060038,1,1
0,162,1,0000024c,24c4d763,1,00000248,0182782a,1,00000244,01296821,0,00000240,8c090038,1,00000240,8c090038,0,1
0,163,1,00000250,00016b02,1,0000024c,24c4d763,1,00000248,0182782a,1,00000244,01296821,0,00000240,8c090038,0,1
0,164,1,00000254,00e26023,1,00000250,00016b02,1,0000024c,24c4d763,1,00000248,0182782a,1,00000244,01296821,0,1
0,165,1,00000258,24695bfe,1,00000254,00e26023,1,00000250,00016b02,1,0000024c,24c4d763,1,00000248,0182782a,0,1
0,166,1,0000025c,00033ec3,1,00000258,24695bfe,1,00000254,00e26023,1,00000250,00016b02,1,0000024c,24c4d763,0,1
0,167,1,00000260,00e37821,1,0000025c,00033ec3,1,00000258,24695bfe,1,00000254,00e26023,1,00000250,00016b02,0,1
0,168,1,00000264,2da8fafb,1,00000260,00e37821,1,0000025c,00033ec3,1,00000258,24695bfe,1,00000254,00e26023,0,1
0,169,1,00000268,00015bc3,1,00000264,2da8fafb,1,00000260,00e37821,1,0000025c,00033ec3,1,00000258,24695bfe,0,1
0,170,1,0000026c,00862825,1,00000268,00015bc3,1,00000264,2da8fafb,1,00000260,00e37821,1,0000025c,00033ec3,0,1
0,171,1,00000270,ac030064,1,0000026c,00862825,1,00000268,00015bc3,1,00000264,2da8fafb,1,00000260,00e37821,0,1
0,172,1,00000274,8c0c0064,1,00000270,ac030064,1,0000026c,00862825,1,00000268,00015bc3,1,00000264,2da8fafb,0,1
0,173,1,00000278,018c7821,1,00000274,8c0c0064,1,00000270,ac030064,1,0000026c,00862825,1,00000268,00015bc3,0,1
0,174,1,0000027c,000e65c0,1,00000278,018c7821,1,00000274,8c0c0064,1,00000270,ac030064,1,0000026c,00862825,1,1
0,175,1,0000027c,000e65c0,1,00000278,018c7821,0,00000274,8c0c0064,1,00000274,8c0c0064,1,00000270,ac030064,1,1
0,176,1,00000280,01a42025,1,0000027c,000e65c0,1,00000278,018c7821,0,00000274,8c0c0064,1,00000274,8c0c0064,0,1
0,177,1,00000284,30e8c142,1,00000280,01a42025,1,0000027c,000e65c0,1,00000278,018c7821,0,00000274,8c0c0064,0,1
0,178,1,00000288,000c1b83,1,00000284,30e8c142,1,00000280,01a42025,1,0000027c,000e65c0,1,00000278,018c7821,0,1
0,179,1,0000028c,0183582a,1,00000288,000c1b83,1,00000284,30e8c142,1,00000280,01a42025,1,0000027c,000e65c0,0,1
0,180,1,00000290,3109daef,1,0000028c,0183582a,1,00000288,000c1b83,1,00000284,30e8c142,1,00000280,01a42025,0,1
0,181,1,00000294,00010903,1,00000290,3109daef,1,0000028c,0183582a,1,00000288,000c1b83,1,00000284,30e8c142,0,1
0,182,1,00000298,00ed4826,1,00000294,00010903,1,00000290,3109daef,1,0000028c,0183582a,1,00000288,000c1b83,0,1
0,183,1,0000029c,38eee9f9,1,00000298,00ed4826,1,00000294,00010903,1,00000290,3109daef,1,0000028c,0183582a,0,1
0,184,1,000002a0,00073c43,1,0000029c,38eee9f9,1,00000298,00ed4826,1,00000294,00010903,1,00000290,3109daef,0,1
0,185,1,000002a4,ac020010,1,000002a0,00073c43,1,0000029c,38eee9f9,1,00000298,00ed4826,1,00000294,00010903,0,1
0,186,1,000002a8,8c060010,1,000002a4,ac020010,1,000002a0,00073c43,1,0000029c,38eee9f9,1,00000298,00ed4826,0,1
0,187,1,000002ac,00c62821,1,000002a8,8c060010,1,000002a4,ac020010,1,000002a0,00073c43,1,0000029c,38eee9f9,0,1
0,188,1,000002b0,246436f1,1,000002ac,00c62821,1,000002a8,8c060010,1,000002a4,ac020010,1,000002a0,00073c43,1,1
0,189,1,000002b0,246436f1,1,000002ac,00c62821,0,000002a8,8c060010,1,000002a8,8c060010,1,000002a4,ac020010,1,1
0,190,1,000002b4,00074f83,1,000002b0,246436f1,1,000002ac,00c62821,0,000002a8,8c060010,1,000002a8,8c060010,0,1
0,191,1,000002b8,01e12824,1,000002b4,00074f83,1,000002b0,246436f1,1,000002ac,00c62821,0,000002a8,8c060010,0,1
0,192,1,000002bc,2d072d0b,1,000002b8,01e12824,1,000002b4,00074f83,1,000002b0,246436f1,1,000002ac,00c62821,0,1
0,193,1,000002c0,00074502,1,000002bc,2d072d0b,1,000002b8,01e12824,1,000002b4,00074f83,1,000002b0,246436f1,0,1
0,194,1,000002c4,01246027,1,000002c0,00074502,1,000002bc,2d072d0b,1,000002b8,01e12824,1,000002b4,00074f83,0,1
0,195,1,000002c8,30a79c61,1,000002c4,01246027,1,000002c0,00074502,1,000002bc,2d072d0b,1,000002b8,01e12824,0,1
0,196,1,000002cc,00012a03,1,000002c8,30a79c61,1,000002c4,01246027,1,000002c0,00074502,1,000002bc,2d072d0b,0,1
0,197,1,000002d0,01ea4825,1,000002cc,00012a03,1,000002c8,30a79c61,1,000002c4,01246027,1,000002c0,00074502,0,1
0,198,1,000002d4,31a2803a,1,000002d0,01ea4825,1,000002cc,00012a03,1,000002c8,30a79c61,1,000002c4,01246027,0,1
0,199,1,000002d8,ac07003c,1,000002d4,31a2803a,1,000002d0,01ea4825,1,000002cc,00012a03,1,000002c8,30a79c61,0,1
0,200,1,000002dc,8c05003c,1,000002d8,ac07003c,1,000002d4,31a2803a,1,000002d0,01ea4825,1,000002cc,00012a03,0,1
0,201,1,000002e0,00a57021,1,000002dc,8c05003c,1,000002d8,ac07003c,1,000002d4,31a2803a,1,000002d0,01ea4825,0,1
0,202,1,000002e4,01c3602b,1,000002e0,00a57021,1,000002dc,8c05003c,1,000002d8,ac07003c,1,000002d4,31a2803a,1,1
0,203,1,000002e4,01c3602b,1,000002e0,00a57021,0,000002dc,8c05003c,1,000002dc,8c05003c,1,000002d8,ac07003c,1,1
0,204,1,000002e8,2903de25,1,000002e4,01c3602b,1,000002e0,00a57021,0,000002dc,8c05003c,1,000002dc,8c05003c,0,1
0,205,1,000002ec,00052443,1,000002e8,2903de25,1,000002e4,01c3602b,1,000002e0,00a57021,0,000002dc,8c05003c,0,1
0,206,1,000002f0,01243821,1,000002ec,00052443,1,000002e8,2903de25,1,000002e4,01c3602b,1,000002e0,00a57021,0,1
0,207,1,000002f4,34a4395d,1,000002f0,01243821,1,000002ec,00052443,1,000002e8,2903de25,1,000002e4,01c3602b,0,1
